year,age_group,CoB,population,proportion_age_by_year
2011,5-9,Non-UK born,181207,0.02592751678927867
2011,10-14,UK born,2799662,0.06207558042298041
2011,10-14,Non-UK born,228874,0.03274782142869407
2011,15-19,UK born,2993938,0.06638317021855393
2011,15-19,Non-UK born,277171,0.0396582679256384
2011,20-24,UK born,2958037,0.06558715433779211
2011,20-24,Non-UK born,573130,0.08200476635802857
2011,25-29,UK born,2720336,0.06031672257062776
2011,25-29,Non-UK born,893864,0.12789612910832246
2011,30-34,UK born,2593762,0.05751025717714157
2011,30-34,Non-UK born,900281,0.12881428831429576
2011,35-39,UK born,2750380,0.06098287396255579
2011,35-39,Non-UK born,757810,0.1084292080222247
2011,40-44,UK born,3218394,0.07135992686968556
2011,40-44,Non-UK born,642072,0.09186914721796473
2011,45-49,UK born,3330218,0.0738393474944679
2011,45-49,Non-UK born,534410,0.07646461917783758
2011,50-69,UK born,10686575,0.23694836943127845
2011,50-69,Non-UK born,1366542,0.19552799090683282
2011,70-89,UK born,5014270,0.11117903541482436
2011,70-89,Non-UK born,545212,0.07801019432867495
2012,0-4,UK born,3278074,0.07230204492167128
2012,0-4,Non-UK born,107399,0.015043779346323491
2012,5-9,UK born,2879528,0.06351161163817848
2012,5-9,Non-UK born,193945,0.027166601042120594
2012,10-14,UK born,2742245,0.06048366241159549
2012,10-14,Non-UK born,229275,0.03211540619212766
2012,15-19,UK born,2950674,0.06508082614889336
2012,15-19,Non-UK born,284286,0.039821002572174045
2012,20-24,UK born,3032116,0.06687713188894401
2012,20-24,Non-UK born,526325,0.07372430995124453
2012,25-29,UK born,2764787,0.060980854572792675
2012,25-29,Non-UK born,851970,0.11933862223751827
2012,30-34,UK born,2585814,0.057033379962467746
2012,30-34,Non-UK born,984986,0.13797067052037534
2012,35-39,UK born,2575347,0.05680251711306437
2012,35-39,Non-UK born,832441,0.11660312221559674
2012,40-44,UK born,3165566,0.06982053947974184
2012,40-44,Non-UK born,657641,0.09211823288015276
2012,45-49,UK born,3373238,0.07440100662995668
2012,45-49,Non-UK born,522465,0.07318362532404309
2012,50-69,UK born,10899066,0.24039260844516022
2012,50-69,Non-UK born,1388663,0.19451521670037542
2012,70-89,UK born,5092152,0.11231381678753385
2012,70-89,Non-UK born,559701,0.07839941101794806
2013,0-4,UK born,3324453,0.0732449839530739
2013,0-4,Non-UK born,85532,0.011537081549464097
2013,5-9,UK born,2987765,0.06582700958038987
2013,5-9,Non-UK born,188925,0.025483364492032274
2013,10-14,UK born,2728458,0.06011390819080195
2013,10-14,Non-UK born,229374,0.030939374074343846
2013,15-19,UK born,2886044,0.06358587306479148
2013,15-19,Non-UK born,298179,0.04022021511642023
2013,20-24,UK born,3046934,0.06713063229832855
